split,case_id,angle_stratum,method,is_final_method,gate_enabled,candidate_W-MPJPE_mm,parent_W-MPJPE_mm,candidate_to_parent_W_ratio,W_harm_percent
development,egobody_recording_20210918_S05_S09_01_small_kinect_11_kinect_12_b02171,small,v16_0_m15_geometry,False,False,179.11210805261376,179.11210805261376,1.0,0.0
development,egobody_recording_20210918_S06_S05_01_extreme_kinect_13_kinect_11_b02456,extreme,v16_0_m15_geometry,False,False,270.78093896681605,270.78093896681605,1.0,0.0
development,egobody_recording_20210918_S06_S05_01_medium_kinect_13_kinect_12_b02456,medium,v16_0_m15_geometry,False,False,255.9076382440951,255.9076382440951,1.0,0.0
development,egobody_recording_20210918_S06_S05_01_small_kinect_11_kinect_12_b02456,small,v16_0_m15_geometry,False,False,255.61304026219494,255.61304026219494,1.0,0.0
development,egobody_recording_20210918_S06_S05_02_extreme_kinect_11_kinect_13_b03571,extreme,v16_0_m15_geometry,False,False,240.16320447938853,240.16320447938853,1.0,0.0
development,egobody_recording_20210918_S06_S05_02_medium_kinect_12_kinect_13_b03571,medium,v16_0_m15_geometry,False,False,154.5321437375398,154.5321437375398,1.0,0.0
development,egobody_recording_20210918_S06_S05_02_small_kinect_12_kinect_11_b03571,small,v16_0_m15_geometry,False,False,254.40605190352844,254.40605190352844,1.0,0.0
development,egobody_recording_20210918_S06_S05_03_extreme_kinect_13_kinect_11_b01166,extreme,v16_0_m15_geometry,False,False,224.28474323810383,224.28474323810383,1.0,0.0
development,egobody_recording_20210918_S06_S05_03_medium_kinect_12_kinect_13_b01166,medium,v16_0_m15_geometry,False,False,139.75338922900735,139.75338922900735,1.0,0.0
development,egobody_recording_20210918_S06_S05_03_small_kinect_12_kinect_11_b01166,small,v16_0_m15_geometry,False,False,205.7500867202756,205.7500867202756,1.0,0.0
development,egobody_recording_20210918_S09_S05_01_extreme_kinect_13_kinect_11_b02021,extreme,v16_0_m15_geometry,False,False,252.21421992641388,252.21421992641388,1.0,0.0
